cost_kind,rule_key,region,conditions_json,price_min,price_max,rate,max_amount,fixed_amount,vat_applicable,effective_from,effective_to,source_name,source_url,last_verified,status,verification,note
중개보수,brok/매매/9억~12억,인천,,900000000,1200000000,0.005,,,1,2021-10-19,,인천광역시 주택 중개보수 등에 관한 조례,https://www.seohae.go.kr/open_content/main/civil/land/realty_fee.jsp,2026-08-31,ENACTED,VERIFIED,상한요율 — 실제 보수는 이 한도 안에서 협의 [대조: Claude 가 source_url 원문 확인 (2026-08-31)]
중개보수,brok/매매/12억~15억,인천,,1200000000,1500000000,0.006,,,1,2021-10-19,,인천광역시 주택 중개보수 등에 관한 조례,https://www.seohae.go.kr/open_content/main/civil/land/realty_fee.jsp,2026-08-31,ENACTED,VERIFIED,상한요율 — 실제 보수는 이 한도 안에서 협의 [대조: Claude 가 source_url 원문 확인 (2026-08-31)]
중개보수,brok/매매/15억이상,인천,,1500000000,,0.007,,,1,2021-10-19,,인천광역시 주택 중개보수 등에 관한 조례,https://www.seohae.go.kr/open_content/main/civil/land/realty_fee.jsp,2026-08-31,ENACTED,VERIFIED,상한요율 — 실제 보수는 이 한도 안에서 협의 [대조: Claude 가 source_url 원문 확인 (2026-08-31)]
인지세,stamp/1천만원이하,,,0,10000000,,,0,0,2026-01-02,,인지세법 제3조 [시행 2026-01-02],https://www.law.go.kr/,2026-08-31,ENACTED,VERIFIED,부동산 소유권 이전에 관한 증서 기준. 통상 매도·매수인이 절반씩 부담하나 이 표는 전액이라 보수적입니다. [종인님이 2026-08-31 직접 제공·검증한 값]
인지세,stamp/1천만~3천만,,,10000000,30000000,,,20000,0,2026-01-02,,인지세법 제3조 [시행 2026-01-02],https://www.law.go.kr/,2026-08-31,ENACTED,VERIFIED,부동산 소유권 이전에 관한 증서 기준. 통상 매도·매수인이 절반씩 부담하나 이 표는 전액이라 보수적입니다. [종인님이 2026-08-31 직접 제공·검증한 값]
인지세,stamp/3천만~5천만,,,30000000,50000000,,,40000,0,2026-01-02,,인지세법 제3조 [시행 2026-01-02],https://www.law.go.kr/,2026-08-31,ENACTED,VERIFIED,부동산 소유권 이전에 관한 증서 기준. 통상 매도·매수인이 절반씩 부담하나 이 표는 전액이라 보수적입니다. [종인님이 2026-08-31 직접 제공·검증한 값]
인지세,stamp/5천만~1억,,,50000000,100000000,,,70000,0,2026-01-02,,인지세법 제3조 [시행 2026-01-02],https://www.law.go.kr/,2026-08-31,ENACTED,VERIFIED,부동산 소유권 이전에 관한 증서 기준. 통상 매도·매수인이 절반씩 부담하나 이 표는 전액이라 보수적입니다. [종인님이 2026-08-31 직접 제공·검증한 값]
인지세,stamp/1억~10억,,,100000000,1000000000,,,150000,0,2026-01-02,,인지세법 제3조 [시행 2026-01-02],https://www.law.go.kr/,2026-08-31,ENACTED,VERIFIED,부동산 소유권 이전에 관한 증서 기준. 통상 매도·매수인이 절반씩 부담하나 이 표는 전액이라 보수적입니다. [종인님이 2026-08-31 직접 제공·검증한 값]
인지세,stamp/10억초과,,,1000000000,,,,350000,0,2026-01-02,,인지세법 제3조 [시행 2026-01-02],https://www.law.go.kr/,2026-08-31,ENACTED,VERIFIED,부동산 소유권 이전에 관한 증서 기준. 통상 매도·매수인이 절반씩 부담하나 이 표는 전액이라 보수적입니다. [종인님이 2026-08-31 직접 제공·검증한 값]
법무비,legal/이전등기/5천만원까지,,,0,50000000,,,105000,1,2026-01-01,,대한법무사협회 보수표 (소유권이전등기 기본보수),https://www.kabl.kr,2026-08-31,ENACTED,ESTIMATED,법정 세금이 아니라 보수표 기준 추정액입니다. 실제 청구금액과 다를 수 있어 확정으로 표시하지 않습니다. [종인님이 2026-08-31 직접 제공·검증한 값]
법무비,legal/이전등기/5천만~2억,,,50000000,200000000,0.0005,,105000,1,2026-01-01,,대한법무사협회 보수표 (소유권이전등기 기본보수),https://www.kabl.kr,2026-08-31,ENACTED,ESTIMATED,법정 세금이 아니라 보수표 기준 추정액입니다. 실제 청구금액과 다를 수 있어 확정으로 표시하지 않습니다. [종인님이 2026-08-31 직접 제공·검증한 값]
법무비,legal/이전등기/2억~10억,,,200000000,1000000000,0.0002,,180000,1,2026-01-01,,대한법무사협회 보수표 (소유권이전등기 기본보수),https://www.kabl.kr,2026-08-31,ENACTED,ESTIMATED,법정 세금이 아니라 보수표 기준 추정액입니다. 실제 청구금액과 다를 수 있어 확정으로 표시하지 않습니다. [종인님이 2026-08-31 직접 제공·검증한 값]
법무비,legal/이전등기/10억~100억,,,1000000000,10000000000,0.0001,,340000,1,2026-01-01,,대한법무사협회 보수표 (소유권이전등기 기본보수),https://www.kabl.kr,2026-08-31,ENACTED,ESTIMATED,법정 세금이 아니라 보수표 기준 추정액입니다. 실제 청구금액과 다를 수 있어 확정으로 표시하지 않습니다. [종인님이 2026-08-31 직접 제공·검증한 값]
